,TXRH
Price/Earnings (TTM),25.85131
Price/Sales (TTM),1.70161
Price/Book (MRQ),6.7902
Price/Cash Flow (TTM),16.39156
5yr Low,25.15
5yr High,110.75
5yr Avg Return,0.12696666666666667
EPS Growth 5yr,0.1655245
Revenue Growth 5yr,0.11715249999999999
Dividend Growth 5yr,0.0956543
Short Int Current Month,4839911.0
Short Int Prev Month,4890519.0
Short Int Pct of Float,0.0727242
Days to Cover,5.3486
Float,66.5054
Shares Outstanding,66.91475
Institutions Holding Shares,457.0
% Held by Institutions,0.952538
FCF Growth 5yr,0.01649385034697637
