,TXRH
% Below High,0.0347
% Held by Institutions,0.9525
52-Wk Range,['68.58 - 101.75']
Annual Dividend $,1.84
Annual Dividend %,0.018500000000000003
Ask,98.82
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,97.89
Bid Size,100.0
Closing Price,98.22
Day Change $,-0.98
Day Change %,-0.009899999999999999
Day High,101.22
Day Low,98.17
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.84
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.42700000000000005
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.85
Prev Close,99.2
Shares Outstanding,66.9M
Short Interest,0.0727
Today's Open,99.19
Volume,999871.0
Volume 10-day Avg,731111.0
Volume Past Day,(Heavy Day)
