,TXRH
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.214501510574018
Growth 1yr High Est,0.2134831460674158
Growth 1yr Consensus Est,0.2139923283207169
Growth 2yr Low Est,0.1433204070283025
Growth 2yr High Est,0.19817675821889313
Growth 2yr Consensus Est,0.17074858262359782
Growth 5yr Low Est,0.17988531173925948
Growth 5yr High Est,0.21534352314236838
Growth 5yr Consensus Est,0.19761441744081393
Growth 5yr Actual/Est,1.5714479287650018
Growth 3yr Historic,1.4901761517615175
