,PD
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.6470588235294118
Growth 1yr High Est,-0.6875
Growth 1yr Consensus Est,-0.6672794117647058
Growth 2yr Low Est,-0.9485294117647058
Growth 2yr High Est,-1.84375
Growth 2yr Consensus Est,-1.3961397058823528
Growth 5yr Low Est,-0.9485294117647058
Growth 5yr High Est,-1.84375
Growth 5yr Consensus Est,-1.3961397058823528
Growth 5yr Actual/Est,-0.591118777056277
Growth 3yr Historic,0.0047619047619048005
