,PD
Price/Earnings (TTM),
Price/Sales (TTM),5.97225
Price/Book (MRQ),7.66169
Price/Cash Flow (TTM),
5yr Low,12.33
5yr High,59.82
5yr Avg Return,-0.03832500000000001
Short Int Current Month,6566413.0
Short Int Prev Month,7066873.0
Short Int Pct of Float,0.08074619999999999
Days to Cover,6.57178
Float,81.37527
Shares Outstanding,89.15784
Institutions Holding Shares,274.0
% Held by Institutions,0.860305
FCF Growth 5yr,-0.09384289229917193
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
