,PD
% Above Low,0.11660000000000001
% Held by Institutions,0.8603000000000001
52-Wk Range,['19.51 - 38.75']
Annual Dividend $,
Annual Dividend %,
Ask,21.8
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,21.78
Bid Size,100.0
Day Change $,-0.045
Day Change %,-0.0021
Day High,22.27
Day Low,21.57
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.46
Ex-dividend Date,No dividend
Historical Volatility,0.731
Last (size),372.0
Last (time),10:22a ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.83
Price,21.79
Shares Outstanding,89.2M
Short Interest,0.08070000000000001
Today's Open,21.57
Volume Past Day,(Below Average)
