,SP
Price/Earnings (TTM),14.94197
Price/Sales (TTM),0.4728
Price/Book (MRQ),2.92506
Price/Cash Flow (TTM),8.82569
5yr Low,14.44
5yr High,47.33
5yr Avg Return,0.010316666666666665
EPS Growth 5yr,0.07654659999999999
Revenue Growth 5yr,-0.061339300000000006
Dividend Growth 5yr,
Short Int Current Month,319412.0
Short Int Prev Month,338993.0
Short Int Pct of Float,0.0164696
Days to Cover,2.60559
Float,19.71977
Shares Outstanding,20.16719
Institutions Holding Shares,198.0
% Held by Institutions,0.991049
FCF Growth 5yr,0.296585941541184
