,SP
% Below High,0.09380000000000001
% Held by Institutions,0.991
52-Wk Range,['25.29 - 37.52']
Annual Dividend $,
Annual Dividend %,
Ask,34.09
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,34.0
Bid Size,200.0
Day Change $,-0.66
Day Change %,-0.019
Day High,34.82
Day Low,34.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.32
Ex-dividend Date,No dividend
Historical Volatility,0.332
Last (size),24.0
Last (time),2:54p ET 11/28/22
Market Cap,685.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.94
Prev Close,34.66
Price,34.0
Shares Outstanding,20.2M
Short Interest,0.0165
Today's Open,34.69
Volume Past Day,(Light)
