,OMF
% Above Low,0.3406
% Held by Institutions,0.8578
52-Wk Range,['28.77 - 55.50']
Annual Dividend $,3.8
Annual Dividend %,0.09849999999999999
Ask,38.6
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,37.76
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,38.57
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",7.58
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.445
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,38.57
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.09
Prev Close,38.57
Shares Outstanding,122.2M
Short Interest,0.051699999999999996
Today's Open,
Volume,5.0
Volume 10-day Avg,1166606.0
Volume Past Day,(Light)
