,OMF
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.3349101229895932
Growth 1yr High Est,-0.32855863921217543
Growth 1yr Consensus Est,-0.3317343811008843
Growth 2yr Low Est,-0.30472390928996024
Growth 2yr High Est,-0.1389459862727544
Growth 2yr Consensus Est,-0.22183494778135732
Growth 5yr Low Est,0.008602275526093023
Growth 5yr High Est,0.09856592901931147
Growth 5yr Consensus Est,0.053584102272702244
Growth 5yr Actual/Est,0.07992403834461176
Growth 3yr Historic,0.17062899603828355
