,OMF
Price/Earnings (TTM),5.08629
Price/Sales (TTM),0.92735
Price/Book (MRQ),1.57019
Price/Cash Flow (TTM),3.87641
5yr Low,12.21
5yr High,63.19
5yr Avg Return,0.10765000000000001
EPS Growth 5yr,0.4407202
Revenue Growth 5yr,0.0498102
Dividend Growth 5yr,
Short Int Current Month,6048742.0
Short Int Prev Month,6365492.0
Short Int Pct of Float,0.051722599999999994
Days to Cover,4.31484
Float,116.9491
Shares Outstanding,122.2119
Institutions Holding Shares,414.0
% Held by Institutions,0.8577809999999999
FCF Growth 5yr,
