,TSE
Price/Earnings (TTM),7.03174
Price/Sales (TTM),0.15985
Price/Book (MRQ),0.96541
Price/Cash Flow (TTM),2.5117
5yr Low,14.16
5yr High,85.35
5yr Avg Return,-0.12228333333333334
EPS Growth 5yr,0.0105083
Revenue Growth 5yr,0.0536959
Dividend Growth 5yr,-0.023281299999999998
Short Int Current Month,1687857.0
Short Int Prev Month,1704551.0
Short Int Pct of Float,0.0491454
Days to Cover,2.04096
Float,34.38091
Shares Outstanding,34.97375
Institutions Holding Shares,260.0
% Held by Institutions,0.923673
FCF Growth 5yr,1.2602945011835383
