,TSE
% Above Low,0.33240000000000003
% Held by Institutions,0.9237000000000001
52-Wk Range,['17.54 - 59.73']
Annual Dividend $,1.28
Annual Dividend %,0.0521
Ask,25.85
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,1.4
Bid,18.75
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,23.37
Day Change $,-1.22
Day Change %,-0.0496
Day High,24.14
Day Low,23.23
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.5
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.5970000000000001
Last (size),2.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,818.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.03
Prev Close,24.59
Shares Outstanding,35.0M
Short Interest,0.049100000000000005
Today's Open,24.01
Volume,286197.0
Volume 10-day Avg,438275.0
Volume Past Day,(Light)
