,WTW
% Below High,0.021099999999999997
% Held by Institutions,0.9551000000000001
52-Wk Range,['187.89 - 244.73']
Annual Dividend $,3.28
Annual Dividend %,0.0134
Ask,240.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,239.26
Bid Size,100.0
Closing Price,239.57
Day Change $,-4.45
Day Change %,-0.0182
Day High,244.14
Day Low,239.37
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",8.48
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.24800000000000003
Last (size),242.0
Last (time),4:00p ET 11/28/22
Market Cap,25.9B
"P/E Ratio (TTM, GAAP)",28.78
Prev Close,244.02
Shares Outstanding,108.2M
Short Interest,0.018600000000000002
Today's Open,241.73
Volume,691873.0
Volume 10-day Avg,651815.0
Volume Past Day,(Average)
