,WTW
Price/Earnings (TTM),28.77554
Price/Sales (TTM),2.98442
Price/Book (MRQ),2.69481
Price/Cash Flow (TTM),16.35427
5yr Low,134.5
5yr High,271.87
5yr Avg Return,0.07286666666666666
EPS Growth 5yr,0.4040153
Revenue Growth 5yr,0.0267077
Dividend Growth 5yr,0.0531885
Short Int Current Month,1997817.0
Short Int Prev Month,1809343.0
Short Int Pct of Float,0.0186245
Days to Cover,3.43188
Float,107.3182
Shares Outstanding,108.2376
Institutions Holding Shares,847.0
% Held by Institutions,0.95506
FCF Growth 5yr,-2.6246823069403713
