,MDLZ
Price/Earnings (TTM),29.66584
Price/Sales (TTM),2.99002
Price/Book (MRQ),3.42297
Price/Cash Flow (TTM),23.58796
5yr Low,37.42
5yr High,69.47
5yr Avg Return,0.08788333333333333
EPS Growth 5yr,0.2396727
Revenue Growth 5yr,0.020703999999999997
Dividend Growth 5yr,0.1369745
Short Int Current Month,12447873.0
Short Int Prev Month,9905438.0
Short Int Pct of Float,0.0091306
Days to Cover,1.69486
Float,1363.517
Shares Outstanding,1365.619
Institutions Holding Shares,2220.0
% Held by Institutions,0.774448
FCF Growth 5yr,0.04748536942720712
