,NUVB
% Above Low,0.0339
% Held by Institutions,0.6475
52-Wk Range,['1.77 - 10.45']
Annual Dividend $,
Annual Dividend %,
Ask,1.88
Ask Size,6100.0
B/A Ratio,1.1475409836065573
B/A Size,7000x6100
Beta,
Bid,1.8
Bid Size,7000.0
Closing Price,1.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.5
Ex-dividend Date,No dividend
Historical Volatility,0.664
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,399.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.83
Shares Outstanding,218.4M
Short Interest,0.0304
Today's Open,
Volume,152844.0
Volume 10-day Avg,486777.0
Volume Past Day,(Light)
