,KW
% Above Low,0.2133
% Held by Institutions,0.8266
52-Wk Range,['13.97 - 25.30']
Annual Dividend $,0.96
Annual Dividend %,0.056600000000000004
Ask,19.95
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.1
Bid,15.06
Bid Size,300.0
Closing Price,16.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",0.56
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.302
Last (size),56.0
Last (time),5:00p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.52
Prev Close,16.95
Shares Outstanding,137.8M
Short Interest,0.0137
Today's Open,
Volume,272512.0
Volume 10-day Avg,573760.0
Volume Past Day,(Light)
