,KW
Price/Earnings (TTM),30.52239
Price/Sales (TTM),4.39179
Price/Book (MRQ),1.75092
Price/Cash Flow (TTM),9.14469
5yr Low,10.98
5yr High,25.3
5yr Avg Return,0.002233333333333333
EPS Growth 5yr,1.945538
Revenue Growth 5yr,-0.08057890000000001
Dividend Growth 5yr,0.1025995
Short Int Current Month,1608747.0
Short Int Prev Month,2113807.0
Short Int Pct of Float,0.0137149
Days to Cover,2.55158
Float,117.1613
Shares Outstanding,137.7908
Institutions Holding Shares,284.0
% Held by Institutions,0.826551
FCF Growth 5yr,
