,BKR
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.1578947368421053
Growth 1yr High Est,0.46464646464646453
Growth 1yr Consensus Est,0.3112706007442849
Growth 2yr Low Est,0.8630382775119616
Growth 2yr High Est,0.5461163357715081
Growth 2yr Consensus Est,0.7045773066417349
Growth 5yr Low Est,0.4315191387559808
Growth 5yr High Est,0.27305816788575404
Growth 5yr Consensus Est,0.35228865332086745
Growth 5yr Actual/Est,5.074989851012869
Growth 3yr Historic,4.758823529411765
