,BKR
% Above Low,0.396
% Held by Institutions,1.0133
52-Wk Range,['20.42 - 39.78']
Annual Dividend $,0.76
Annual Dividend %,0.026699999999999998
Ask,29.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,28.5
Bid Size,100.0
Closing Price,28.5
Day Change $,-0.33
Day Change %,-0.011399999999999999
Day High,29.03
Day Low,28.46
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.45
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.451
Last (size),814.0
Last (time),12:59p ET 11/25/22
Market Cap,28.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,28.83
Shares Outstanding,1.0B
Short Interest,0.02
Today's Open,28.7
Volume,2689317.0
Volume 10-day Avg,6290559.0
Volume Past Day,(Light)
