,BKR
Price/Earnings (TTM),
Price/Sales (TTM),1.38606
Price/Book (MRQ),2.03312
Price/Cash Flow (TTM),44.28555
5yr Low,9.12
5yr High,39.78
5yr Avg Return,0.010583333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1581142
Dividend Growth 5yr,0.011497299999999998
Short Int Current Month,20049119.0
Short Int Prev Month,19078811.0
Short Int Pct of Float,0.0200473
Days to Cover,2.5936
Float,999.9749
Shares Outstanding,1008.468
Institutions Holding Shares,911.0
% Held by Institutions,1.013334
FCF Growth 5yr,-1.7623594879452453
