,KOS
Price/Earnings (TTM),6.83158
Price/Sales (TTM),1.26615
Price/Book (MRQ),3.27025
Price/Cash Flow (TTM),2.88837
5yr Low,0.501
5yr High,9.75
5yr Avg Return,0.10076666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.3382085
Dividend Growth 5yr,
Short Int Current Month,23433557.0
Short Int Prev Month,24492796.0
Short Int Pct of Float,0.0528372
Days to Cover,4.28831
Float,443.3678
Shares Outstanding,455.8935
Institutions Holding Shares,305.0
% Held by Institutions,0.91399
FCF Growth 5yr,-0.355974436749748
