,KOS
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-12.875
Growth 1yr High Est,12.416666666666668
Growth 1yr Consensus Est,-0.22916666666666607
Growth 2yr Low Est,-6.595394736842105
Growth 2yr High Est,6.453674948240166
Growth 2yr Consensus Est,-0.07085989430096973
Growth 5yr Low Est,-3.2976973684210527
Growth 5yr High Est,3.226837474120083
Growth 5yr Consensus Est,-0.03542994715048477
Growth 5yr Actual/Est,-2.303271901709402
Growth 3yr Historic,2.7234374999999997
