,KOS
% Below High,0.2445
% Held by Institutions,0.914
52-Wk Range,['3.02 - 8.49']
Annual Dividend $,
Annual Dividend %,
Ask,6.91
Ask Size,100.0
B/A Ratio,20.0
B/A Size,2000x100
Beta,2.8
Bid,6.39
Bid Size,2000.0
Closing Price,6.41
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.94
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
"P/E Ratio (TTM, GAAP)",6.83
Prev Close,6.41
Shares Outstanding,455.9M
Short Interest,0.0528
Today's Open,
Volume,1710046.0
Volume 10-day Avg,4653949.0
Volume Past Day,(Light)
