,MYRG
Price/Earnings (TTM),20.88507
Price/Sales (TTM),0.57982
Price/Book (MRQ),3.02069
Price/Cash Flow (TTM),12.05297
5yr Low,16.33
5yr High,121.22
5yr Avg Return,0.2468666666666667
EPS Growth 5yr,0.3218769
Revenue Growth 5yr,0.1693871
Dividend Growth 5yr,
Short Int Current Month,232938.0
Short Int Prev Month,290697.0
Short Int Pct of Float,0.0143838
Days to Cover,2.02454
Float,16.18437
Shares Outstanding,16.60075
Institutions Holding Shares,291.0
% Held by Institutions,0.8924949999999999
FCF Growth 5yr,0.6444214874247027
