,MYRG
% Below High,0.18359999999999999
% Held by Institutions,0.8925
52-Wk Range,['74.77 - 119.39']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,97.47
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.67
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.89
Prev Close,97.47
Shares Outstanding,16.6M
Short Interest,0.0144
Today's Open,
Volume,23675.0
Volume 10-day Avg,69877.0
Volume Past Day,(Light)
