,WFRD
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.9844413012729845
Growth 1yr High Est,-1.0319303338171262
Growth 1yr Consensus Est,-1.0081858175450553
Growth 2yr Low Est,-9.083129741545584
Growth 2yr High Est,7.302216651273255
Growth 2yr Consensus Est,-0.8904565451361641
Growth 5yr Low Est,-6.0554198276970554
Growth 5yr High Est,4.86814443418217
Growth 5yr Consensus Est,-0.5936376967574429
Growth 5yr Actual/Est,34.65582565092236
Growth 3yr Historic,2.0316032558990305
