,WFRD
Price/Earnings (TTM),
Price/Sales (TTM),0.74582
Price/Book (MRQ),6.76616
Price/Cash Flow (TTM),16.38804
5yr Low,1.31
5yr High,44.57
5yr Avg Return,0.95545
EPS Growth 5yr,
Revenue Growth 5yr,-0.0871045
Dividend Growth 5yr,
Short Int Current Month,1687241.0
Short Int Prev Month,2044965.0
Short Int Pct of Float,0.025766
Days to Cover,2.48962
Float,65.51758
Shares Outstanding,70.60864
Institutions Holding Shares,207.0
% Held by Institutions,0.9822339999999999
FCF Growth 5yr,-1.4346117138838659
