,USB
% Above Low,0.1394
% Held by Institutions,0.7097
52-Wk Range,['38.39 - 63.57']
Annual Dividend $,1.92
Annual Dividend %,0.0434
Ask,47.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,41.0
Bid Size,500.0
Closing Price,43.74
Day Change $,-0.52
Day Change %,-0.011699999999999999
Day High,44.29
Day Low,43.64
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",4.19
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.294
Last (size),20.0
Last (time),7:00p ET 11/28/22
Market Cap,65.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.56
Prev Close,44.26
Shares Outstanding,1.5B
Short Interest,0.0078000000000000005
Today's Open,43.99
Volume,6790652.0
Volume 10-day Avg,7674427.0
Volume Past Day,(Below Average)
