,USB
Price/Earnings (TTM),10.55511
Price/Sales (TTM),2.79781
Price/Book (MRQ),1.61557
Price/Cash Flow (TTM),9.67523
5yr Low,28.36
5yr High,63.57
5yr Avg Return,-0.012216666666666664
EPS Growth 5yr,0.095023
Revenue Growth 5yr,0.0053185
Dividend Growth 5yr,0.1047969
Short Int Current Month,11595382.0
Short Int Prev Month,11764137.0
Short Int Pct of Float,0.0078157
Days to Cover,1.0413
Float,1483.952
Shares Outstanding,1485.823
Institutions Holding Shares,2027.0
% Held by Institutions,0.709737
FCF Growth 5yr,
