,IONS
% Below High,0.1487
% Held by Institutions,0.8792
52-Wk Range,['25.04 - 48.82']
Annual Dividend $,
Annual Dividend %,
Ask,41.87
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,41.35
Bid Size,100.0
Closing Price,41.56
Day Change $,0.31
Day Change %,0.0075
Day High,41.9
Day Low,40.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.488
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",717.67
Prev Close,41.25
Shares Outstanding,142.1M
Short Interest,0.0546
Today's Open,41.08
Volume,465328.0
Volume 10-day Avg,964078.0
Volume Past Day,(Light)
