,IONS
Price/Earnings (TTM),717.6653
Price/Sales (TTM),6.74326
Price/Book (MRQ),9.9304
Price/Cash Flow (TTM),237.4648
5yr Low,25.04
5yr High,86.58
5yr Avg Return,-0.0030833333333333355
EPS Growth 5yr,
Revenue Growth 5yr,0.1680362
Dividend Growth 5yr,
Short Int Current Month,7716597.0
Short Int Prev Month,6855061.0
Short Int Pct of Float,0.0546497
Days to Cover,7.33628
Float,141.2581
Shares Outstanding,142.0503
Institutions Holding Shares,453.0
% Held by Institutions,0.87921
FCF Growth 5yr,-0.568796992481203
