,FIBK
% Below High,0.0382
% Held by Institutions,0.7839
52-Wk Range,['32.40 - 46.34']
Annual Dividend $,1.88
Annual Dividend %,0.042199999999999994
Ask,46.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,44.57
Bid Size,200.0
Closing Price,44.57
Day Change $,0.59
Day Change %,0.0134
Day High,44.71
Day Low,44.01
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",1.86
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.305
Last (size),43.0
Last (time),1:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.98
Prev Close,43.98
Shares Outstanding,104.4M
Short Interest,0.018600000000000002
Today's Open,44.21
Volume,130646.0
Volume 10-day Avg,346856.0
Volume Past Day,(Light)
