,FIBK
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.32291666666666663
Growth 1yr High Est,-0.28387096774193543
Growth 1yr Consensus Est,-0.30339381720430103
Growth 2yr Low Est,0.42315705128205144
Growth 2yr High Est,0.3828392909038069
Growth 2yr Consensus Est,0.4029981710929292
Growth 5yr Low Est,0.22174072382338525
Growth 5yr High Est,0.21679820592151858
Growth 5yr Consensus Est,0.2192694648724519
Growth 5yr Actual/Est,0.22056681418472915
Growth 3yr Historic,0.03081048617997456
