,FDP
Price/Earnings (TTM),19.03823
Price/Sales (TTM),0.29685
Price/Book (MRQ),0.69482
Price/Cash Flow (TTM),8.08858
5yr Low,20.25
5yr High,52.43
5yr Avg Return,-0.053099999999999994
EPS Growth 5yr,-0.1728694
Revenue Growth 5yr,0.0117129
Dividend Growth 5yr,0.0
Short Int Current Month,639218.0
Short Int Prev Month,758162.0
Short Int Pct of Float,0.017123600000000003
Days to Cover,3.52429
Float,37.34156
Shares Outstanding,47.8471
Institutions Holding Shares,224.0
% Held by Institutions,0.654712
FCF Growth 5yr,-2.9049446518475146
