,MSI
% Below High,0.0191
% Held by Institutions,0.8584
52-Wk Range,['195.18 - 273.65']
Annual Dividend $,3.52
Annual Dividend %,0.0131
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,259.87
Bid Size,
Closing Price,268.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",6.81
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.307
Last (size),4200.0
Last (time),5:00p ET 11/25/22
Market Cap,44.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.44
Prev Close,268.43
Shares Outstanding,167.2M
Short Interest,0.0079
Today's Open,
Volume,212115.0
Volume 10-day Avg,762401.0
Volume Past Day,(Light)
