,CIR
% Below High,0.17809999999999998
% Held by Institutions,0.9584
52-Wk Range,['13.26 - 30.71']
Annual Dividend $,
Annual Dividend %,
Ask,26.73
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,2.1
Bid,10.02
Bid Size,200.0
Closing Price,25.24
Day Change $,0.26
Day Change %,0.0104
Day High,25.61
Day Low,24.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.3
Ex-dividend Date,No dividend
Historical Volatility,0.593
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,513.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,24.98
Shares Outstanding,20.4M
Short Interest,0.0242
Today's Open,24.98
Volume,52819.0
Volume 10-day Avg,114232.0
Volume Past Day,(Light)
