,TEX
Price/Earnings (TTM),11.98709
Price/Sales (TTM),0.72652
Price/Book (MRQ),2.95868
Price/Cash Flow (TTM),9.70743
5yr Low,11.54
5yr High,55.6
5yr Avg Return,0.02426666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.026398500000000002
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,2521257.0
Short Int Prev Month,3367265.0
Short Int Pct of Float,0.038661
Days to Cover,3.14282
Float,65.24748
Shares Outstanding,67.5
Institutions Holding Shares,363.0
% Held by Institutions,0.9081999999999999
FCF Growth 5yr,-1.2709937098349116
