,TEX
% Below High,0.0654
% Held by Institutions,0.9081999999999999
52-Wk Range,['26.64 - 47.49']
Annual Dividend $,0.52
Annual Dividend %,0.011399999999999999
Ask,50.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,41.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,44.38
Day Change $,-1.38
Day Change %,-0.0302
Day High,45.45
Day Low,43.66
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",3.82
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.451
Last (size),761.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.99
Prev Close,45.76
Shares Outstanding,67.5M
Short Interest,0.0387
Today's Open,45.23
Volume,610137.0
Volume 10-day Avg,571427.0
Volume Past Day,(Average)
