,DELL
Price/Earnings (TTM),28.31026
Price/Sales (TTM),0.32891
Price/Book (MRQ),
Price/Cash Flow (TTM),10.51495
5yr Low,25.51
5yr High,115.0
5yr Avg Return,-0.06383333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.1023658
Dividend Growth 5yr,
Short Int Current Month,7753057.0
Short Int Prev Month,7613536.0
Short Int Pct of Float,0.0308976
Days to Cover,2.91681
Float,251.0931
Shares Outstanding,732.96
Institutions Holding Shares,894.0
% Held by Institutions,0.755487
FCF Growth 5yr,-0.23475956941315487
