,DELL
% Above Low,0.3567
% Held by Institutions,0.7555
52-Wk Range,['32.90 - 61.54']
Annual Dividend $,1.32
Annual Dividend %,0.0296
Ask,44.6
Ask Size,300.0
B/A Ratio,2.0
B/A Size,600x300
Beta,0.9
Bid,44.54
Bid Size,600.0
Closing Price,44.63
Day Change $,0.02
Day Change %,0.0004
Day High,45.07
Day Low,44.42
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",1.58
Ex-dividend,2022-10-18 00:00:00
Ex-dividend Date,10/18/22
Historical Volatility,0.423
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,32.7B
"P/E Ratio (TTM, GAAP)",28.31
Prev Close,44.61
Shares Outstanding,733.0M
Short Interest,0.030899999999999997
Today's Open,44.5
Volume,2034711.0
Volume 10-day Avg,4338811.0
Volume Past Day,(Light)
