,DDOG
% Above Low,0.12630000000000002
% Held by Institutions,0.79
52-Wk Range,['66.45 - 187.70']
Annual Dividend $,
Annual Dividend %,
Ask,74.84
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,74.51
Bid Size,200.0
Closing Price,74.84
Day Change $,-0.47
Day Change %,-0.0062
Day High,75.05
Day Low,72.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.7590000000000001
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,23.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,75.31
Shares Outstanding,317.6M
Short Interest,0.0404
Today's Open,74.67
Volume,3334587.0
Volume 10-day Avg,5060379.0
Volume Past Day,(Light)
