,DDOG
Price/Earnings (TTM),
Price/Sales (TTM),15.51419
Price/Book (MRQ),18.42937
Price/Cash Flow (TTM),1337.734
5yr Low,27.55
5yr High,199.68
5yr Avg Return,0.433825
Short Int Current Month,10468200.0
Short Int Prev Month,12502624.0
Short Int Pct of Float,0.040373599999999996
Days to Cover,1.60884
Float,263.5314
Shares Outstanding,317.5598
Institutions Holding Shares,944.0
% Held by Institutions,0.789962
FCF Growth 5yr,0.11157565866006691
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
