,A
Price/Earnings (TTM),37.55455
Price/Sales (TTM),6.76157
Price/Book (MRQ),8.75462
Price/Cash Flow (TTM),29.47371
5yr Low,60.42
5yr High,179.57
5yr Avg Return,0.15998333333333328
EPS Growth 5yr,0.1478035
Revenue Growth 5yr,0.0889612
Dividend Growth 5yr,0.100275
Short Int Current Month,2889384.0
Short Int Prev Month,2893740.0
Short Int Pct of Float,0.0098294
Days to Cover,2.27041
Float,294.175
Shares Outstanding,295.0
Institutions Holding Shares,1333.0
% Held by Institutions,0.89302
FCF Growth 5yr,0.8053549503619079
