,ESMT
Price/Earnings (TTM),197.382
Price/Sales (TTM),10.1004
Price/Book (MRQ),3.57758
Price/Cash Flow (TTM),85.34248
5yr Low,15.64
5yr High,38.83
5yr Avg Return,-0.32144999999999996
Short Int Current Month,1528560.0
Short Int Prev Month,1744186.0
Short Int Pct of Float,0.0565747
Days to Cover,2.15527
Float,153.5829
Shares Outstanding,165.482
Institutions Holding Shares,132.0
% Held by Institutions,0.901257
FCF Growth 5yr,3.846799019699555
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
