,ESMT
% Above Low,0.09910000000000001
% Held by Institutions,0.9013
52-Wk Range,['15.64 - 25.26']
Annual Dividend $,
Annual Dividend %,
Ask,19.69
Ask Size,100.0
B/A Ratio,33.0
B/A Size,3300x100
Beta,
Bid,15.37
Bid Size,3300.0
Closing Price,17.19
Day Change $,0.12
Day Change %,0.006999999999999999
Day High,17.28
Day Low,17.06
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.5579999999999999
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",197.38
Prev Close,17.07
Shares Outstanding,165.5M
Short Interest,0.056600000000000004
Today's Open,17.14
Volume,105135.0
Volume 10-day Avg,512789.0
Volume Past Day,(Light)
