,CRUS
% Above Low,0.2126
% Held by Institutions,0.9438
52-Wk Range,['61.94 - 95.84']
Annual Dividend $,
Annual Dividend %,
Ask,77.2
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.0
Bid,75.11
Bid Size,200.0
Closing Price,75.11
Day Change $,-1.82
Day Change %,-0.023700000000000002
Day High,76.77
Day Low,74.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.01
Ex-dividend Date,No dividend
Historical Volatility,0.387
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.49
Prev Close,76.93
Shares Outstanding,55.1M
Short Interest,0.0316
Today's Open,76.36
Volume,180954.0
Volume 10-day Avg,417382.0
Volume Past Day,(Light)
