,CRUS
Price/Earnings (TTM),12.49274
Price/Sales (TTM),2.09659
Price/Book (MRQ),2.51602
Price/Cash Flow (TTM),9.86946
5yr Low,31.25
5yr High,103.25
5yr Avg Return,0.1683
EPS Growth 5yr,0.0705419
Revenue Growth 5yr,0.029700400000000002
Dividend Growth 5yr,
Short Int Current Month,1733880.0
Short Int Prev Month,2101984.0
Short Int Pct of Float,0.0316407
Days to Cover,2.3873
Float,54.87115
Shares Outstanding,55.0606
Institutions Holding Shares,450.0
% Held by Institutions,0.9438
FCF Growth 5yr,-0.5063508027747152
