,AXL
Price/Earnings (TTM),388.0374
Price/Sales (TTM),0.21065
Price/Book (MRQ),2.44298
Price/Cash Flow (TTM),2.40557
5yr Low,2.5
5yr High,19.63
5yr Avg Return,-0.07378333333333333
EPS Growth 5yr,-0.5608406
Revenue Growth 5yr,0.054865899999999995
Dividend Growth 5yr,
Short Int Current Month,6256321.0
Short Int Prev Month,6418641.0
Short Int Pct of Float,0.055959
Days to Cover,2.77924
Float,112.0969
Shares Outstanding,114.5542
Institutions Holding Shares,280.0
% Held by Institutions,0.942454
FCF Growth 5yr,0.6586445689386866
