,AXL
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5384615384615383
Growth 2yr High Est,0.8124999999999998
Growth 2yr Consensus Est,0.675480769230769
Growth 5yr Low Est,0.5384615384615383
Growth 5yr High Est,0.8124999999999998
Growth 5yr Consensus Est,0.675480769230769
Growth 5yr Actual/Est,1.2855898333048872
Growth 3yr Historic,1.1823192239858906
