,AXL
% Below High,0.1321
% Held by Institutions,0.9425
52-Wk Range,['6.36 - 11.96']
Annual Dividend $,
Annual Dividend %,
Ask,11.95
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.2
Bid,10.0
Bid Size,100.0
Closing Price,10.38
Day Change $,0.22
Day Change %,0.0217
Day High,10.48
Day Low,10.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.03
Ex-dividend Date,No dividend
Historical Volatility,0.657
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",388.04
Prev Close,10.16
Shares Outstanding,114.6M
Short Interest,0.055999999999999994
Today's Open,10.24
Volume,244694.0
Volume 10-day Avg,1084412.0
Volume Past Day,(Light)
