,CNNE
% Above Low,0.3503
% Held by Institutions,0.8551000000000001
52-Wk Range,['17.12 - 36.50']
Annual Dividend $,
Annual Dividend %,
Ask,42.5
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,23.11
Day Change $,0.05
Day Change %,0.0022
Day High,23.19
Day Low,22.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.56
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,23.06
Shares Outstanding,78.0M
Short Interest,0.0212
Today's Open,22.86
Volume,360890.0
Volume 10-day Avg,877802.0
Volume Past Day,(Light)
