,CNNE
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7448630136986301
Growth 2yr High Est,-1.1031128404669261
Growth 2yr Consensus Est,-0.9239879270827781
Growth 5yr Low Est,-0.7448630136986301
Growth 5yr High Est,-1.1031128404669261
Growth 5yr Consensus Est,-0.9239879270827781
Growth 5yr Actual/Est,2.34229762959762
Growth 3yr Historic,2.4147652116402116
