,CNNE
Price/Earnings (TTM),
Price/Sales (TTM),2.61957
Price/Book (MRQ),0.66529
Price/Cash Flow (TTM),
5yr Low,15.87
5yr High,46.57
5yr Avg Return,0.12548333333333334
EPS Growth 5yr,
Revenue Growth 5yr,-0.0883132
Dividend Growth 5yr,
Short Int Current Month,1540276.0
Short Int Prev Month,1534050.0
Short Int Pct of Float,0.02116
Days to Cover,2.52936
Float,72.79193
Shares Outstanding,78.02029
Institutions Holding Shares,261.0
% Held by Institutions,0.855051
FCF Growth 5yr,0.6341828924943068
