,CBRE
% Above Low,0.1654
% Held by Institutions,0.9741
52-Wk Range,['66.31 - 111.00']
Annual Dividend $,
Annual Dividend %,
Ask,85.44
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,66.5
Bid Size,200.0
Closing Price,77.28
Day Change $,0.5
Day Change %,0.006500000000000001
Day High,77.64
Day Low,76.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.05
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),8000.0
Last (time),5:00p ET 11/25/22
Market Cap,24.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.76
Prev Close,76.78
Shares Outstanding,315.9M
Short Interest,0.014499999999999999
Today's Open,76.47
Volume,589000.0
Volume 10-day Avg,1397597.0
Volume Past Day,(Light)
