,CBRE
Price/Earnings (TTM),12.76313
Price/Sales (TTM),0.78298
Price/Book (MRQ),3.08752
Price/Cash Flow (TTM),9.22627
5yr Low,29.17
5yr High,111.0
5yr Avg Return,0.15598333333333333
EPS Growth 5yr,0.2613271
Revenue Growth 5yr,0.0982082
Dividend Growth 5yr,
Short Int Current Month,4555812.0
Short Int Prev Month,4524732.0
Short Int Pct of Float,0.0145478
Days to Cover,2.35674
Float,314.531
Shares Outstanding,315.9485
Institutions Holding Shares,1046.0
% Held by Institutions,0.9741339999999999
FCF Growth 5yr,-7.095503990868281
