,ITCI
% Below High,0.2086
% Held by Institutions,0.9305
52-Wk Range,['34.43 - 66.00']
Annual Dividend $,
Annual Dividend %,
Ask,54.6
Ask Size,1200.0
B/A Ratio,1.5833333333333333
B/A Size,1900x1200
Beta,1.2
Bid,51.3
Bid Size,1900.0
Closing Price,52.23
Day Change $,1.04
Day Change %,0.0203
Day High,52.37
Day Low,51.26
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.32
Ex-dividend Date,No dividend
Historical Volatility,0.588
Last (size),100.0
Last (time),1:00p ET 11/25/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,51.19
Shares Outstanding,94.7M
Short Interest,0.0344
Today's Open,51.27
Volume,145936.0
Volume 10-day Avg,564176.0
Volume Past Day,(Light)
