,ITCI
Price/Earnings (TTM),
Price/Sales (TTM),26.29466
Price/Book (MRQ),7.21638
Price/Cash Flow (TTM),
5yr Low,6.75
5yr High,66.0
5yr Avg Return,0.3942666666666667
EPS Growth 5yr,
Revenue Growth 5yr,2.025277
Dividend Growth 5yr,
Short Int Current Month,3175894.0
Short Int Prev Month,4057793.0
Short Int Pct of Float,0.0344307
Days to Cover,3.52163
Float,92.23024
Shares Outstanding,94.70505
Institutions Holding Shares,372.0
% Held by Institutions,0.9304819999999999
FCF Growth 5yr,0.25289667210547934
