,POR
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.011152416356877248
Growth 1yr High Est,0.021505376344086002
Growth 1yr Consensus Est,0.005176479993604377
Growth 2yr Low Est,-0.013095005170919827
Growth 2yr High Est,0.03531409168081501
Growth 2yr Consensus Est,0.01110954325494759
Growth 5yr Low Est,0.028410124533184172
Growth 5yr High Est,0.05351770157811242
Growth 5yr Consensus Est,0.040963913055648296
Growth 5yr Actual/Est,0.07811474933966489
Growth 3yr Historic,0.07526515520093416
