,POR
% Above Low,0.168
% Held by Institutions,0.9797
52-Wk Range,['41.58 - 57.03']
Annual Dividend $,1.81
Annual Dividend %,0.0371
Ask,48.58
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.6
Bid,48.55
Bid Size,200.0
Day Change $,-0.235
Day Change %,-0.0048
Day High,48.76
Day Low,47.94
Dividend Pay Date,2023-01-17 00:00:00
"EPS (TTM, GAAP)",2.77
Ex-dividend,2022-12-23 00:00:00
Ex-dividend Date,12/23/22
Historical Volatility,0.24100000000000002
Last (size),100.0
Last (time),11:16a ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.61
Prev Close,48.8
Price,48.57
Shares Outstanding,89.3M
Short Interest,0.0928
Today's Open,48.41
Volume Past Day,(Below Average)
