,POR
Price/Earnings (TTM),17.60722
Price/Sales (TTM),1.69646
Price/Book (MRQ),1.57841
Price/Cash Flow (TTM),6.63092
5yr Low,31.96
5yr High,63.08
5yr Avg Return,0.01343333333333333
EPS Growth 5yr,0.0466693
Revenue Growth 5yr,0.044964399999999995
Dividend Growth 5yr,0.0614214
Short Int Current Month,8237904.0
Short Int Prev Month,7714671.0
Short Int Pct of Float,0.0928133
Days to Cover,9.50518
Float,88.83104
Shares Outstanding,89.2729
Institutions Holding Shares,471.0
% Held by Institutions,0.979737
FCF Growth 5yr,-0.728152618971763
