,BRY
Price/Earnings (TTM),3.98479
Price/Sales (TTM),0.74235
Price/Book (MRQ),0.89916
Price/Cash Flow (TTM),2.01497
5yr Low,1.82
5yr High,18.55
5yr Avg Return,0.20273333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.0580468
Dividend Growth 5yr,
Short Int Current Month,2162048.0
Short Int Prev Month,2149864.0
Short Int Pct of Float,0.0286535
Days to Cover,2.68438
Float,75.64066
Shares Outstanding,76.768
Institutions Holding Shares,204.0
% Held by Institutions,0.975085
FCF Growth 5yr,0.4558661678473159
