,BRY
% Above Low,0.3289
% Held by Institutions,0.9751000000000001
52-Wk Range,['6.78 - 12.85']
Annual Dividend $,0.24
Annual Dividend %,0.026600000000000002
Ask,9.68
Ask Size,2000.0
B/A Ratio,0.8
B/A Size,1600x2000
Beta,2.3
Bid,8.25
Bid Size,1600.0
Closing Price,9.01
Day Change $,0.19
Day Change %,0.0215
Day High,9.09
Day Low,8.92
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",2.26
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.5670000000000001
Last (size),37.0
Last (time),12:59p ET 11/25/22
Market Cap,690.1M
"P/E Ratio (TTM, GAAP)",3.98
Prev Close,8.82
Shares Outstanding,76.8M
Short Interest,0.0287
Today's Open,8.92
Volume,192515.0
Volume 10-day Avg,583580.0
Volume Past Day,(Light)
